,Tweet,State,IsFlorida
2016-12-16 22:01:27,"We're #hiring! Read about our latest #job opening here: Laboratory Technologist - https://t.co/TujxtOF7cY #Calumet #wisconsin #Chilton, WI",WI,0
2016-12-16 21:55:16,RT @RepSeanDuffy: .@RCamposDuffy &amp; I were on @foxandfriends to discuss how #Wisconsin leaders are ready to work with @realDonaldTrump https…,WI,0
2016-12-16 21:55:12,#GreenBay #Wisconsin Dec 16 15:00 Temperature 17°F overcast Humidity 74% .. https://t.co/9Ul56OoZbV,WI,0
2016-12-16 21:54:47,RT @heytana: #Wisconsin loved having you tonight @realDonaldTrump #ThankYouTour2016 https://t.co/pX5zJgRDqT,WI,0
2016-12-16 21:53:06,RT @marcvanommeren: PSA for #Wisconsin drivers: Turn your lights on. #wiwx #winterstorm,WI,0
2016-12-16 21:51:45,Get 10 free Lyfts with this new lyft code Use Lyft Promotional Code: LINX *** Rusk County #Wisconsin,WI,0
2016-12-16 21:51:35,RT @DillionHarper: Being dorky in the snow #Wisconsin #blizzard #WinterWonderland 🎄🎄🎄 #Dillionaires https://t.co/PifenIWq1E,WI,0
2016-12-16 21:51:20,RT @DillionHarper: Being dorky in the snow #Wisconsin #blizzard #WinterWonderland 🎄🎄🎄 #Dillionaires https://t.co/PifenIWq1E,WI,0
2016-12-16 21:51:10,#wisconsin - whitewater kpop shop online di indonesia,WI,0
2016-12-16 21:50:55,#BackTheBlue #StandUpForEurope #Wisconsin https://t.co/7PXyBoOkdX,WI,0
2016-12-16 21:49:03,Appealing a Conviction After Pleading Guilty to Domestic Battery in Wisconsin: A Success Story… https://t.co/7ES6AJ5bGF,WI,0
2016-12-16 21:48:53,Life of the #amish in #wisconsin is quite fascinating! I wonder how they survive in the cold… https://t.co/txyHoTmpky,WI,0
2016-12-16 21:48:04,"Here's a member of the #Wisconsin #electoralcollege whose response to WI voters is ""I don’t take them seriously"".… https://t.co/s161tw9aNr",WI,0
2016-12-16 21:47:49,RT @DillionHarper: Being dorky in the snow #Wisconsin #blizzard #WinterWonderland 🎄🎄🎄 #Dillionaires https://t.co/PifenIWq1E,WI,0
2016-12-16 21:46:23,. # Géoingénierie #lacrosse #Wisconsin https://t.co/TqUrQ01T7i #OpChemPBA,WI,0
2016-12-16 21:42:52,That would be AWESOME! And there's so much #momentum to get us to a #traumainformed #Wisconsin! Thanks… https://t.co/yiqKri06hT,WI,0
2016-12-16 21:42:11,"RT @CJFinNM: What Americans c happening in North Carolina by Republicans will be the norm soon. Both #Kansas, #Wisconsin already belong to…",WI,0
2016-12-16 21:41:31,PSA for #Wisconsin drivers: Turn your lights on. #wiwx #winterstorm,WI,0
2016-12-16 21:41:08,#seanduffy #Wisconsin you are as #ignorant as you look @CNN @TheLeadCNN  #hatersbackoff #racist #bigot #LGBT https://t.co/BKmUDdcsI6,WI,0
2016-12-16 21:39:32,RT @pmishkar87: Vision in white. #WinterWonderland #photography #travelpics #sunset #Wisconsin https://t.co/4kDiMhbhkH,WI,0
2016-12-16 21:39:26,RT @pmishkar87: Awakening. #photography #Travel #Wisconsin #hiking #nature https://t.co/zmTUFEjKsY,WI,0
2016-12-16 21:39:22,RT @DillionHarper: Being dorky in the snow #Wisconsin #blizzard #WinterWonderland 🎄🎄🎄 #Dillionaires https://t.co/PifenIWq1E,WI,0
2016-12-16 21:39:05,Gonna be snowed in all weekend. Any ideas on how to occupy myself? #snowweekend #wisconsin,WI,0
2016-12-16 23:16:11,"Travel Rn Registered Nurse Icu In Spring Hill Florida Jobs in Jacksonville, FLORIDA #Jacksonville #FLORIDA https://t.co/9Al9swmzZz",FL,1
2016-12-16 23:15:49,"RT @LindaSuhler: 🇺🇸#PEOTUS Donald J. Trump **TODAY**
#ThankYouTour2016 #Florida
💥Orlando, FL
7 PM ET 
#AmericaFirst #MAGA🇺🇸 
https://t.co/D…",FL,1
2016-12-16 23:15:22,"RT @LindaSuhler: 🇺🇸#PEOTUS Donald J. Trump **TODAY**
#ThankYouTour2016 #Florida
💥Orlando, FL
7 PM ET 
#AmericaFirst #MAGA🇺🇸 
https://t.co/D…",FL,1
2016-12-16 23:15:10,Miami police turn investigation of missing guns over to state #Florida #HiTechCJ https://t.co/1MCjW0HmPn,FL,1
2016-12-16 23:15:07,Jellies!!! #beachtrip #Florida #wildlife https://t.co/DH1GQpGBlz,FL,1
2016-12-16 23:15:06,RT @1click3dprint: Visit our Website: https://t.co/Ol7fBsf59y #followme #Miami #florida #website #3dprinting #3dprint #3D #3dprinted,FL,1
